Id_aloj_1;V0100 1;V0100 2;V0100 3;V0100 4;V0100 5;V0100 N
F1_35750;1;0;0;0;0;
F1_35751;1;0;0;0;0;
F1_35752;1;0;1;0;0;
F1_35753;2;0;0;0;0;
F1_35754;;;;;;1
F1_35755;1;0;0;0;0;
F1_35756;2;0;0;2;0;
F1_35757;2;1;0;0;0;
F1_499;;;;;;1
F1_500;1;0;1;0;0;
F1_35758;0;2;0;0;0;
F1_501;1;1;0;0;0;
F1_341;1;1;1;0;1;
F1_342;1;0;1;0;1;
F1_343;1;1;2;0;1;
F1_35759;1;0;1;1;0;
F1_385;1;1;0;0;0;
F1_386;0;0;1;0;0;
F1_387;3;0;2;0;1;
F1_382;2;0;0;0;0;
F1_35760;2;0;0;0;4;
F1_35761;2;1;2;1;0;
F1_383;1;0;0;0;2;
F1_384;1;0;1;0;0;
F1_314;3;0;1;1;2;
F1_318;2;0;0;0;2;
F1_35762;1;0;0;0;0;
F1_35763;1;0;0;0;0;
F1_35764;0;2;1;1;0;
F1_35765;2;0;0;0;0;
F1_319;2;1;0;0;0;
F1_35766;4;0;0;0;0;
F1_328;;;;;;1
F1_35767;1;0;0;0;0;
F1_329;1;1;0;0;1;
F1_330;3;2;0;0;3;
F1_483;3;0;0;0;3;
F1_35768;2;1;1;>=4;0;
F1_35769;1;1;0;0;0;
F1_35770;2;0;0;0;0;
F1_35771;1;0;0;0;0;
F1_35772;>=5;0;0;0;0;
F1_35773;;;;;;1
F1_35774;0;0;1;0;0;
F1_35775;3;0;0;0;0;
F1_484;2;0;1;0;0;
F1_485;3;1;0;0;0;
F1_486;1;1;0;0;3;
F1_35776;3;0;0;0;0;
F1_35777;2;0;0;0;0;
F1_35778;1;1;0;0;0;
F1_487;2;0;0;0;1;
F1_35779;;;;;;1
F1_35780;1;1;0;0;0;
F1_488;;;;;;1
F1_35781;1;0;0;0;0;
F1_489;1;0;0;1;0;
F1_35782;1;0;0;0;0;
F1_35783;2;0;0;0;0;
F1_490;2;0;0;0;2;
F1_35784;2;2;0;0;0;
F1_35785;1;0;0;0;0;
F1_35786;;;;;;1
F1_491;;;;;;1
F1_492;;;;;;1
F1_35787;2;0;1;0;0;
F1_334;1;0;0;0;0;
F1_35788;1;0;1;0;0;
F1_335;2;1;0;0;0;
F1_35789;2;0;0;0;0;
F1_35790;1;0;0;0;0;
F1_336;1;1;1;0;0;
F1_35791;1;0;0;0;0;
F1_35792;1;1;1;2;2;
F1_35793;2;0;1;0;2;
F1_35794;1;0;0;1;0;
F1_340;0;0;0;0;1;
F1_35795;1;1;1;0;2;
F1_373;2;0;0;0;3;
F1_374;2;1;0;0;0;
