"Id_aloj_1";"Desp_Comb_Esc_Cod";"Desp_Comb_Esc_Dsg";"Desp_Esta_Esc_Cod";"Desp_Esta_Esc_Dsg";"Desp_Port_Esc_Cod";"Desp_Port_Esc_Dsg";"Desp_Tp_Esc_Cod";"Desp_Tp_Esc_Dsg"
"F1_1000";7;"Entre 150 e menos de 250 euros";2;"Menos de 5 euros";7;"Entre 60 e menos de 150 euros";1;"Não há despesa, habitualmente"
"F1_1001";99;"Ns/Nr";1;"Não há despesa, habitualmente";1;"Não há despesa, habitualmente";1;"Não há despesa, habitualmente"
"F1_1002";5;"Entre 60 e menos de 100 euros";2;"Menos de 5 euros";3;"Entre 5 e menos de 10 euros";3;"Entre 10 e menos de 30 euros"
"F1_1003";7;"Entre 150 e menos de 250 euros";1;"Não há despesa, habitualmente";1;"Não há despesa, habitualmente";1;"Não há despesa, habitualmente"
"F1_1004";5;"Entre 60 e menos de 100 euros";1;"Não há despesa, habitualmente";1;"Não há despesa, habitualmente";1;"Não há despesa, habitualmente"
"F1_1005";5;"Entre 60 e menos de 100 euros";1;"Não há despesa, habitualmente";1;"Não há despesa, habitualmente";1;"Não há despesa, habitualmente"
"F1_1006";6;"Entre 100 e menos de 150 euros";1;"Não há despesa, habitualmente";1;"Não há despesa, habitualmente";4;"Entre 30 e menos de 60 euros"
"F1_1007";5;"Entre 60 e menos de 100 euros";1;"Não há despesa, habitualmente";3;"Entre 5 e menos de 10 euros";1;"Não há despesa, habitualmente"
"F1_1008";8;"Entre 250 e menos de 400 euros";1;"Não há despesa, habitualmente";5;"Entre 15 e menos de 30 euros";1;"Não há despesa, habitualmente"
"F1_1009";8;"Entre 250 e menos de 400 euros";1;"Não há despesa, habitualmente";1;"Não há despesa, habitualmente";1;"Não há despesa, habitualmente"
"F1_1010";6;"Entre 100 e menos de 150 euros";1;"Não há despesa, habitualmente";5;"Entre 15 e menos de 30 euros";1;"Não há despesa, habitualmente"
"F1_1011";4;"Entre 30 e menos de 60 euros";2;"Menos de 5 euros";3;"Entre 5 e menos de 10 euros";5;"Entre 60 e menos de 100 euros"
"F1_1012";99;"Ns/Nr";1;"Não há despesa, habitualmente";1;"Não há despesa, habitualmente";3;"Entre 10 e menos de 30 euros"
"F1_1013";5;"Entre 60 e menos de 100 euros";1;"Não há despesa, habitualmente";1;"Não há despesa, habitualmente";4;"Entre 30 e menos de 60 euros"
"F1_1014";5;"Entre 60 e menos de 100 euros";4;"Entre 10 e menos de 30 euros";6;"Entre 30 e menos de 60 euros";1;"Não há despesa, habitualmente"
"F1_1015";4;"Entre 30 e menos de 60 euros";1;"Não há despesa, habitualmente";3;"Entre 5 e menos de 10 euros";1;"Não há despesa, habitualmente"
"F1_1016";4;"Entre 30 e menos de 60 euros";1;"Não há despesa, habitualmente";2;"Menos de 5 euros";5;"Entre 60 e menos de 100 euros"
"F1_1017";3;"Entre 10 e menos de 30 euros";1;"Não há despesa, habitualmente";1;"Não há despesa, habitualmente";1;"Não há despesa, habitualmente"
"F1_1018";1;"Não há despesa, habitualmente";1;"Não há despesa, habitualmente";1;"Não há despesa, habitualmente";1;"Não há despesa, habitualmente"
"F1_1019";9;"400 ou mais euros";1;"Não há despesa, habitualmente";6;"Entre 30 e menos de 60 euros";1;"Não há despesa, habitualmente"
"F1_1020";7;"Entre 150 e menos de 250 euros";1;"Não há despesa, habitualmente";2;"Menos de 5 euros";1;"Não há despesa, habitualmente"
"F1_1021";5;"Entre 60 e menos de 100 euros";1;"Não há despesa, habitualmente";1;"Não há despesa, habitualmente";1;"Não há despesa, habitualmente"
"F1_1022";3;"Entre 10 e menos de 30 euros";1;"Não há despesa, habitualmente";2;"Menos de 5 euros";1;"Não há despesa, habitualmente"
