"Id_aloj_1";"DTCC_aloj";"Zona_aloj";"PESOFIN"
"F1_1000";"0109";"2";15.449807317
"F1_1001";"0109";"2";15.149460037
"F1_1002";"0109";"2";18.730345677
"F1_1003";"0109";"2";19.576089489
"F1_1004";"0109";"2";13.954120303
"F1_1005";"0109";"2";13.072912367
"F1_1006";"0109";"2";18.32904463
"F1_1007";"0109";"2";20.973232673
"F1_1008";"0109";"2";18.531510137
"F1_1009";"0109";"2";18.32904463
"F1_1010";"0109";"2";13.317186283
"F1_1011";"0109";"2";21.144093185
"F1_1012";"0109";"2";22.72443187
"F1_1013";"0109";"2";11.920358798
"F1_1014";"0109";"2";9.169859974
"F1_1015";"0109";"2";32.954856965
"F1_1016";"0109";"2";15.810784498
"F1_1017";"0109";"2";7.92561099
"F1_1018";"0109";"2";7.92561099
"F1_1019";"0109";"2";16.490021566
"F1_1020";"0109";"2";21.189911296
"F1_1021";"0109";"2";17.638050477
"F1_1022";"0109";"2";13.466169492
"F1_1023";"0109";"2";21.189911296
"F1_1024";"0109";"2";12.853592316
"F1_1025";"0109";"2";4.987755713
"F1_1026";"0109";"2";18.666541038
"F1_1027";"0109";"2";15.271015987
"F1_1028";"0109";"2";7.92561099
"F1_1029";"0109";"2";7.92561099
"F1_1030";"0109";"2";18.32904463
"F1_1031";"0109";"2";7.92561099
"F1_1032";"0109";"2";15.915032801
"F1_1033";"0109";"2";19.576089489
"F1_1034";"0109";"2";19.522298981
"F1_1035";"0109";"2";13.179901615
"F1_1036";"0109";"2";19.576089489
"F1_1037";"0109";"2";32.954856965
"F1_1038";"0109";"2";7.92561099
"F1_1039";"0109";"2";35.416368113
"F1_1040";"0109";"2";21.189911296
"F1_1041";"0109";"2";32.954856965
"F1_1042";"0109";"2";17.042216832
"F1_1043";"0109";"2";18.539427206
"F1_1044";"0109";"2";8.346453656
"F1_1045";"0109";"2";12.871492826
"F1_1046";"0109";"2";15.227665522
"F1_1047";"0109";"2";21.199409846
"F1_1048";"0109";"2";7.92561099
"F1_1049";"0109";"2";32.954856965
"F1_1050";"0109";"2";11.382255824
"F1_1051";"0109";"2";12.853592316
"F1_1052";"0109";"2";21.189911296
"F1_1053";"0109";"2";21.099542062
"F1_1054";"0109";"2";7.92561099
"F1_1055";"0109";"2";32.954856965
"F1_1056";"0109";"2";16.097642798
"F1_1057";"0109";"2";18.539427206
"F1_1058";"0109";"2";18.130399874
"F1_1059";"0109";"2";18.32904463
"F1_1060";"0109";"2";13.466169492
"F1_1061";"0109";"2";14.013773716
"F1_1062";"0109";"2";32.954856965
"F1_1063";"0109";"2";29.238284221
"F1_1064";"0109";"2";13.954120303
"F1_1065";"0109";"2";21.189911296
"F1_1066";"0109";"2";21.189911296
"F1_1067";"0109";"2";22.651787664
"F1_1068";"0109";"2";11.015321352
"F1_1069";"0109";"2";13.710446263
"F1_1070";"0109";"2";11.382255824
"F1_1071";"0109";"2";4.987755713
"F1_1072";"0109";"2";12.853592316
"F1_1073";"0109";"2";11.414611653
"F1_1074";"0109";"2";7.92561099
"F1_1075";"0109";"2";23.685295362
"F1_1076";"0109";"2";21.189911296
"F1_1077";"0109";"2";15.552910892
"F1_1078";"0109";"2";21.404138667
