"Id_aloj_1";"N_Individuo";"N_Pass";"Tipo_Passe";"Tipo_Passe_Dsg";"Passe_Tarifa";"Passe_Tarifa_Dsg";"Passe_Intermodal";"Passe_Intermodal_Dsg";"Passe_Operador1";"Passe_Operador1_Dsg";"Passe_Operador2";"Passe_Operador2_Dsg";"Passe_Operador3";"Passe_Operador3_Dsg"
"F1_1002";1;1;1;"Rede de um operador";1;"Sem redução";;;62;"Outro";;;;
"F1_1002";1;2;1;"Rede de um operador";1;"Sem redução";;;62;"Outro";;;;
"F1_1006";1;1;2;"Linha de um operador";1;"Sem redução";;;36;"CP";;;;
"F1_1011";2;1;2;"Linha de um operador";1;"Sem redução";;;56;"Transdev Norte";;;;
"F1_1012";4;1;1;"Rede de um operador";9;"Outro";;;38;"Feirense";;;;
"F1_1013";2;1;3;"Passes intermodais/sociais ";4;"Sub23";13;"Andante - Z2";;;;;;
"F1_1016";2;1;1;"Rede de um operador";4;"Sub23";;;36;"CP";;;;
"F1_1016";3;1;1;"Rede de um operador";4;"Sub23";;;36;"CP";;;;
"F1_1016";3;2;1;"Rede de um operador";4;"Sub23";;;62;"Outro";;;;
"F1_1050";3;1;1;"Rede de um operador";4;"Sub23";;;54;"Transdev / Caima";;;;
"F1_1050";3;2;1;"Rede de um operador";4;"Sub23";;;46;"Metro do Porto";;;;
"F1_1070";3;1;3;"Passes intermodais/sociais ";4;"Sub23";14;"Andante - Z3";;;;;;
"F1_1070";3;2;3;"Passes intermodais/sociais ";4;"Sub23";24;"Outro";;;;;;
"F1_1076";1;1;1;"Rede de um operador";1;"Sem redução";;;46;"Metro do Porto";;;;
"F1_1083";2;1;1;"Rede de um operador";2;"Gratuito";;;38;"Feirense";;;;
"F1_1083";3;1;1;"Rede de um operador";2;"Gratuito";;;40;"Inácio - AV Souto";;;;
"F1_1086";5;1;1;"Rede de um operador";1;"Sem redução";;;54;"Transdev / Caima";;;;
"F1_1086";5;2;3;"Passes intermodais/sociais ";1;"Sem redução";13;"Andante - Z2";;;;;;
"F1_1086";4;1;1;"Rede de um operador";1;"Sem redução";;;54;"Transdev / Caima";;;;
"F1_1087";1;1;1;"Rede de um operador";1;"Sem redução";;;46;"Metro do Porto";;;;
"F1_1088";4;1;3;"Passes intermodais/sociais ";7;"Crianças";24;"Outro";;;;;;
"F1_1092";4;1;1;"Rede de um operador";4;"Sub23";;;36;"CP";;;;
"F1_1110";3;1;1;"Rede de um operador";4;"Sub23";;;54;"Transdev / Caima";;;;
"F1_1110";3;2;2;"Linha de um operador";4;"Sub23";;;46;"Metro do Porto";;;;
"F1_1113";2;1;2;"Linha de um operador";1;"Sem redução";;;36;"CP";;;;
"F1_1150";1;1;2;"Linha de um operador";1;"Sem redução";;;54;"Transdev / Caima";;;;
"F1_1177";3;1;1;"Rede de um operador";4;"Sub23";;;53;"STCP";;;;
"F1_1190";1;1;1;"Rede de um operador";1;"Sem redução";;;46;"Metro do Porto";;;;
"F1_1191";3;1;1;"Rede de um operador";1;"Sem redução";;;55;"Transdev Douro";;;;
"F1_1191";3;3;;;;;;;;;;;;
"F1_1191";3;2;2;"Linha de um operador";3;"4_18";;;34;"Autobus";;;;
"F1_1209";2;1;1;"Rede de um operador";1;"Sem redução";;;54;"Transdev / Caima";;;;
"F1_1241";3;1;3;"Passes intermodais/sociais ";8;"Social +";24;"Outro";;;;;;
"F1_1243";3;1;1;"Rede de um operador";5;"Sénior";;;62;"Outro";;;;
"F1_1243";3;2;1;"Rede de um operador";1;"Sem redução";;;36;"CP";;;;
"F1_1264";3;1;1;"Rede de um operador";2;"Gratuito";;;54;"Transdev / Caima";;;;
"F1_1274";3;1;2;"Linha de um operador";9;"Outro";;;54;"Transdev / Caima";;;;
"F1_1291";1;1;2;"Linha de um operador";1;"Sem redução";;;36;"CP";;;;
"F1_1291";3;1;1;"Rede de um operador";9;"Outro";;;46;"Metro do Porto";;;;
"F1_1291";4;1;1;"Rede de um operador";9;"Outro";;;46;"Metro do Porto";;;;
"F1_1301";2;1;1;"Rede de um operador";1;"Sem redução";;;54;"Transdev / Caima";;;;
"F1_1311";1;1;1;"Rede de um operador";4;"Sub23";;;63;"Não sabe";;;;
"F1_1317";2;1;3;"Passes intermodais/sociais ";3;"4_18";24;"Outro";;;;;;
"F1_1329";4;1;1;"Rede de um operador";4;"Sub23";;;46;"Metro do Porto";;;;
"F1_1329";2;1;2;"Linha de um operador";1;"Sem redução";;;40;"Inácio - AV Souto";;;;
"F1_1352";3;1;1;"Rede de um operador";1;"Sem redução";;;53;"STCP";;;;
"F1_1352";3;2;1;"Rede de um operador";1;"Sem redução";;;54;"Transdev / Caima";;;;
"F1_1377";4;1;1;"Rede de um operador";9;"Outro";;;54;"Transdev / Caima";;;;
"F1_1384";4;1;3;"Passes intermodais/sociais ";9;"Outro";24;"Outro";;;;;;
"F1_1384";3;1;2;"Linha de um operador";9;"Outro";;;54;"Transdev / Caima";;;;
"F1_1425";3;1;1;"Rede de um operador";4;"Sub23";;;46;"Metro do Porto";;;;
"F1_1470";4;1;1;"Rede de um operador";4;"Sub23";;;63;"Não sabe";;;;
"F1_1491";1;1;1;"Rede de um operador";1;"Sem redução";;;46;"Metro do Porto";;;;
"F1_1494";2;1;1;"Rede de um operador";1;"Sem redução";;;54;"Transdev / Caima";;;;
"F1_1497";1;1;3;"Passes intermodais/sociais ";4;"Sub23";14;"Andante - Z3";;;;;;
"F1_1497";1;2;1;"Rede de um operador";4;"Sub23";;;54;"Transdev / Caima";;;;
