"Id_aloj_1";"O0110";"O0111";"O0115";"O0120";"O0125";"O0130";"O0135";"O0140";"O0145";"O0150";"O0155";"O0160";"O0161";"O0162";"O0163";"O0165";"O0210";"O0211";"O0215";"O0220";"O0225";"O0230";"O0235";"O0240";"O0245";"O0250";"O0260";"O0261";"O0265";"O0310";"O0315";"O0320";"O0325";"O0330";"O0335";"O0340";"O0345";"O0350";"O0355";"O0360";"O0365";"O0370";"O0375"
"F1_1000";2;;;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1001";1;;;;2;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1002";;;;;;;;;;;;;;;;;2;;;;;;;;3;;1;;;3;4;3;2;2;4;4;6;3;3;3;3;3;3
"F1_1003";;3;;;;;2;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1004";;3;;;;;2;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1005";;;;;2;;1;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1006";1;;;;;;;;;;;;2;;3;;2;;;;3;;;;;;1;;;4;5;4;6;4;5;5;4;4;4;4;4;5;4
"F1_1007";;;;;3;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1008";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1009";;;;;;;1;;;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1010";1;;;;3;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1011";3;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1012";3;2;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1013";2;;;;3;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1014";;;;;3;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1015";2;;;;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
