"Id_aloj_1";"Rendimento_Cod";"Rendimento_Dsg"
"F1_1000";5;"De 1500 até menos de 2600 euros"
"F1_1001";5;"De 1500 até menos de 2600 euros"
"F1_1002";3;"De 600 até menos de 1000 euros"
"F1_1003";2;"De 430 até menos de 600 euros"
"F1_1004";3;"De 600 até menos de 1000 euros"
"F1_1005";5;"De 1500 até menos de 2600 euros"
"F1_1006";5;"De 1500 até menos de 2600 euros"
"F1_1007";4;"De 1000 até menos de 1500 euros"
"F1_1008";7;"De 3600 até menos de 5700 euros"
"F1_1009";6;"De 2600 até menos de 3600 euros"
"F1_1010";5;"De 1500 até menos de 2600 euros"
"F1_1011";6;"De 2600 até menos de 3600 euros"
"F1_1012";4;"De 1000 até menos de 1500 euros"
"F1_1013";6;"De 2600 até menos de 3600 euros"
"F1_1014";99;"Ns/Nr"
"F1_1015";4;"De 1000 até menos de 1500 euros"
"F1_1016";3;"De 600 até menos de 1000 euros"
"F1_1017";5;"De 1500 até menos de 2600 euros"
"F1_1018";6;"De 2600 até menos de 3600 euros"
"F1_1019";6;"De 2600 até menos de 3600 euros"
"F1_1020";5;"De 1500 até menos de 2600 euros"
"F1_1021";4;"De 1000 até menos de 1500 euros"
"F1_1022";4;"De 1000 até menos de 1500 euros"
"F1_1023";4;"De 1000 até menos de 1500 euros"
"F1_1024";5;"De 1500 até menos de 2600 euros"
"F1_1025";5;"De 1500 até menos de 2600 euros"
"F1_1026";5;"De 1500 até menos de 2600 euros"
"F1_1027";3;"De 600 até menos de 1000 euros"
"F1_1028";6;"De 2600 até menos de 3600 euros"
"F1_1029";99;"Ns/Nr"
"F1_1030";5;"De 1500 até menos de 2600 euros"
"F1_1031";5;"De 1500 até menos de 2600 euros"
"F1_1032";7;"De 3600 até menos de 5700 euros"
"F1_1033";5;"De 1500 até menos de 2600 euros"
"F1_1034";5;"De 1500 até menos de 2600 euros"
"F1_1035";7;"De 3600 até menos de 5700 euros"
"F1_1036";5;"De 1500 até menos de 2600 euros"
"F1_1037";99;"Ns/Nr"
"F1_1038";2;"De 430 até menos de 600 euros"
"F1_1039";3;"De 600 até menos de 1000 euros"
"F1_1040";4;"De 1000 até menos de 1500 euros"
"F1_1041";3;"De 600 até menos de 1000 euros"
"F1_1042";6;"De 2600 até menos de 3600 euros"
"F1_1043";3;"De 600 até menos de 1000 euros"
"F1_1044";4;"De 1000 até menos de 1500 euros"
"F1_1045";3;"De 600 até menos de 1000 euros"
