Id_aloj_1;N_Veic;Ano_Matric;Tipo_Combust_Cod;Tipo_Combust_Cod_Dsg;N_Lugares;Estacion_Resid_Cod;Estacion_Resid_Dsg;Tipo_Propried_Cod;Tipo_Propried_Dsg
F1_1000;1;1998;2;Gasóleo;5;2;Gratuito - em local do próprio ou do condomínio (incluindo garagem/box e dístico gratuito);1;Do próprio / dos residentes
F1_1000;2;2006;2;Gasóleo;7;1;Gratuito - na rua ou noutro espaço de acesso público;1;Do próprio / dos residentes
F1_1000;3;2014;2;Gasóleo;5;1;Gratuito - na rua ou noutro espaço de acesso público;1;Do próprio / dos residentes
F1_1001;1;2015;2;Gasóleo;5;1;Gratuito - na rua ou noutro espaço de acesso público;4;Leasing
F1_1002;1;1995;2;Gasóleo;5;1;Gratuito - na rua ou noutro espaço de acesso público;1;Do próprio / dos residentes
F1_1003;1;2000;1;Gasolina;5;2;Gratuito - em local do próprio ou do condomínio (incluindo garagem/box e dístico gratuito);1;Do próprio / dos residentes
F1_1004;1;2002;1;Gasolina;5;2;Gratuito - em local do próprio ou do condomínio (incluindo garagem/box e dístico gratuito);1;Do próprio / dos residentes
F1_1005;1;2002;2;Gasóleo;5;2;Gratuito - em local do próprio ou do condomínio (incluindo garagem/box e dístico gratuito);1;Do próprio / dos residentes
F1_1006;1;2016;1;Gasolina;5;2;Gratuito - em local do próprio ou do condomínio (incluindo garagem/box e dístico gratuito);1;Do próprio / dos residentes
F1_1006;2;2010;1;Gasolina;5;1;Gratuito - na rua ou noutro espaço de acesso público;1;Do próprio / dos residentes
F1_1007;1;2006;1;Gasolina;5;2;Gratuito - em local do próprio ou do condomínio (incluindo garagem/box e dístico gratuito);1;Do próprio / dos residentes
F1_1007;2;2008;2;Gasóleo;5;2;Gratuito - em local do próprio ou do condomínio (incluindo garagem/box e dístico gratuito);1;Do próprio / dos residentes
F1_1008;1;2015;2;Gasóleo;5;2;Gratuito - em local do próprio ou do condomínio (incluindo garagem/box e dístico gratuito);1;Do próprio / dos residentes
